                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                0.92333,                 5.4017,                 1.3544,                0.00056,                0.06667,                0.00086,                0.00047,                 1.4158,                 4.8233,                 1.2949,             2.6016e-05,             2.6016e-05,             2.6016e-05
                     34,                0.82259,                  5.227,                 1.2092,                0.00056,                0.06667,                0.00086,                0.00047,                 1.4158,                 4.8233,                 1.2949,              2.644e-05,              2.644e-05,              2.644e-05
                     35,                  0.797,                 5.1422,                 1.2355,                0.00056,                0.06667,                0.00086,                0.00052,                 1.4149,                 4.8056,                 1.2959,             2.6841e-05,             2.6841e-05,             2.6841e-05
                     36,                0.87391,                 5.1902,                 1.3154,                0.00056,                0.06667,                0.00086,                0.00052,                 1.4149,                 4.8056,                 1.2959,             2.7218e-05,             2.7218e-05,             2.7218e-05
                     37,                0.57018,                 5.2807,                 1.0661,                0.00042,                   0.05,                0.00077,                0.00053,                 1.4109,                 4.8153,                 1.2972,             2.7572e-05,             2.7572e-05,             2.7572e-05
                     38,                0.63753,                 5.2169,                 1.1925,                0.00042,                   0.05,                0.00077,                0.00053,                 1.4109,                 4.8153,                 1.2972,             2.7902e-05,             2.7902e-05,             2.7902e-05
                     39,                0.88786,                 5.4784,                 1.3806,                0.00042,                   0.05,                0.00076,                0.00052,                 1.4017,                 4.8041,                 1.3004,             2.8208e-05,             2.8208e-05,             2.8208e-05
                     40,                  0.806,                 5.2439,                 1.3391,                0.00042,                   0.05,                0.00076,                0.00052,                 1.4017,                 4.8041,                 1.3004,             2.8491e-05,             2.8491e-05,             2.8491e-05
                     41,                0.96447,                 5.2423,                 1.4246,                0.00056,                0.06667,                0.00087,                0.00052,                 1.4123,                 4.8055,                  1.304,              2.875e-05,              2.875e-05,              2.875e-05
                     42,                0.71479,                 5.1783,                 1.1676,                0.00056,                0.06667,                0.00087,                0.00052,                 1.4123,                 4.8055,                  1.304,             2.8986e-05,             2.8986e-05,             2.8986e-05
                     43,                 1.0176,                  6.098,                 1.3964,                0.00056,                0.06667,                 0.0008,                0.00046,                 1.4348,                 4.8271,                 1.3124,             2.9198e-05,             2.9198e-05,             2.9198e-05
                     44,                0.70541,                 5.3104,                 1.2415,                0.00056,                0.06667,                 0.0008,                0.00046,                 1.4348,                 4.8271,                 1.3124,             2.9387e-05,             2.9387e-05,             2.9387e-05
                     45,                0.66727,                 5.1504,                 1.1985,                0.00056,                0.06667,                0.00079,                 0.0004,                 1.4396,                 4.8187,                 1.3148,             2.9552e-05,             2.9552e-05,             2.9552e-05
                     46,                 0.7306,                  5.135,                 1.2767,                0.00056,                0.06667,                0.00079,                 0.0004,                 1.4396,                 4.8187,                 1.3148,             2.9693e-05,             2.9693e-05,             2.9693e-05
                     47,                0.50935,                 5.2852,                 1.0762,                0.00056,                0.06667,                0.00081,                0.00043,                 1.4518,                 4.8111,                 1.3115,             2.9811e-05,             2.9811e-05,             2.9811e-05
                     48,                0.82071,                 5.2112,                 1.3757,                0.00056,                0.06667,                0.00081,                0.00043,                 1.4518,                 4.8111,                 1.3115,             2.9906e-05,             2.9906e-05,             2.9906e-05
                     49,                0.81308,                 5.1946,                 1.0951,                0.00056,                0.06667,                0.00079,                0.00042,                 1.4548,                 4.8153,                 1.3157,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     50,                0.72068,                 5.1959,                 1.1942,                0.00056,                0.06667,                0.00079,                0.00042,                 1.4548,                 4.8153,                 1.3157,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     51,                 0.6838,                 5.1953,                 1.1549,                0.00056,                0.06667,                0.00081,                0.00052,                 1.4684,                 4.8074,                 1.3218,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     52,                0.76864,                 5.5017,                 1.3446,                0.00056,                0.06667,                0.00081,                0.00052,                 1.4684,                 4.8074,                 1.3218,             3.0048e-05,             3.0048e-05,             3.0048e-05
